,package_id,citation,keywords
1,knb-lter-ble.1.7,"Beaufort Lagoon Ecosystems LTER and V. Lougheed. 2020. Carbon flux from aquatic ecosystems of the Arctic Coastal Plain along the Beaufort Sea, Alaska, 2010-2018 ver 7. Environmental Data Initiative. https://doi.org/10.6073/pasta/e6c261fbd143e720af5a46a9a131a616.","A, C, D"
2,knb-lter-ble.10.1,"Beaufort Lagoon Ecosystems LTER, C. Kellogg, J. McClelland, K. Dunton, and B. Crump. 2020. Catalog of GenBank sequence read archive (SRA) entries of 16S and 18S rRNA genes from bacterial and protistan planktonic communities along the Eastern Beaufort Sea coast, North Slope, Alaska, 2011-2013 ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/0e4d75453560ab5c085c9b547be68731.",B
3,knb-lter-ble.11.2,"Beaufort Lagoon Ecosystems LTER, Core Program. 2022. Carbon and nitrogen content and stable isotope compositions from particulate organic matter samples from lagoon, river, and open ocean sites along the Alaska Beaufort Sea coast, 2018-ongoing ver 2. Environmental Data Initiative. https://doi.org/10.6073/pasta/606bb21a324a69f460ba6c0c86f2997e.",C
4,knb-lter-ble.12.2,"Beaufort Lagoon Ecosystems LTER, Core Program. 2022. Sediment pigment concentrations from lagoon sites along the Alaska Beaufort Sea coast, 2018-ongoing ver 2. Environmental Data Initiative. https://doi.org/10.6073/pasta/939f9e5e3b6ba9c724de36090583c93b.","A, C"
5,knb-lter-ble.13.2,"Beaufort Lagoon Ecosystems LTER, Core Program. 2022. Water column chlorophyll concentrations from lagoon, river, and ocean sites along the Alaska Beaufort Sea coast, 2018-ongoing ver 2. Environmental Data Initiative. https://doi.org/10.6073/pasta/c7ddffa8bb116a5d3b6d42cecb807be2.","A, C"
6,knb-lter-ble.14.5,"Beaufort Lagoon Ecosystems LTER, Core Program. 2022. Water column and sediment porewater nutrient concentrations from lagoon, river, and ocean sites along the Alaska Beaufort Sea coast, 2018-ongoing ver 5. Environmental Data Initiative. https://doi.org/10.6073/pasta/3caf8934cff273d8eabd493836bd1633.",D
7,knb-lter-ble.15.2,"Beaufort Lagoon Ecosystems LTER, Core Program. 2022. Colored dissolved organic matter (CDOM) absorbance from lagoon, ocean, and river sites along the Alaska Beaufort Sea coast, 2021-ongoing ver 2. Environmental Data Initiative. https://doi.org/10.6073/pasta/01f02f5f417ca5fe6ab4d66a1325a63c.",C
8,knb-lter-ble.16.1,"Beaufort Lagoon Ecosystems LTER, S. Afshari, and M. Rawlins. 2020. Flow direction grid at 1 kilometer resolution for North Slope drainage basins, Alaska ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/9cb127ebaaa85a2a79e4e3e72d71efe0.",NA
9,knb-lter-ble.17.1,"Bristol, E., C. Connolly, T. Lorenson, B. Richmond, A. Ilgen, R. Choens, D. Bull, M. Kanevskiy, G. Iwahana, B. Jones, and J. McClelland. 2020. Geochemical characterization and material properties of coastal permafrost near Drew Point, Alaska ver 1. Environmental Data Initiative. https://doi.org/10.6073/pasta/cc4d53a91ed873765224fcb6d09f5eb7.","C, D"
10,knb-lter-ble.18.3,"Beaufort Lagoon Ecosystems LTER, Core Program. 2022. Carbon and nitrogen content and stable isotope composition from sediment organic matter from lagoon sites along the Alaska Beaufort Sea coast, 2018-ongoing ver 3. Environmental Data Initiative. https://doi.org/10.6073/pasta/0429b7427c7e3ec179468b8688f2d414.",C
