Count,Package ID,DOI,Title,Upload Date-Time
1,knb-lter-ble.1.1,doi:10.6073/pasta/045604ca1533c1f4a28eaf961cda8900,"Carbon flux from aquatic ecosystems of the Arctic Coastal Plain along the Beaufort Sea, Alaska, 2010-2018",2019-04-29 12:56:15
2,knb-lter-ble.1.2,doi:10.6073/pasta/0bf46c986015c1f662ea8fcbf24daef5,"Carbon flux from aquatic ecosystems of the Arctic Coastal Plain along the Beaufort Sea, Alaska, 2010-2018",2019-05-09 17:05:04
3,knb-lter-ble.1.3,doi:10.6073/pasta/94819fd00968af7ab671800888b87810,"Carbon flux from aquatic ecosystems of the Arctic Coastal Plain along the Beaufort Sea, Alaska, 2010-2018",2019-05-15 12:28:33
4,knb-lter-ble.1.4,doi:10.6073/pasta/c5c3c89981fb2bef327f72a349778e3c,"Carbon flux from aquatic ecosystems of the Arctic Coastal Plain along the Beaufort Sea, Alaska, 2010-2018",2019-05-15 15:11:00
5,knb-lter-ble.1.5,doi:10.6073/pasta/510265e800edede9c244b3aaece006b8,"Carbon flux from aquatic ecosystems of the Arctic Coastal Plain along the Beaufort Sea, Alaska, 2010-2018",2019-05-15 16:07:11
6,knb-lter-ble.2.1,doi:10.6073/pasta/534386d3b5a94e32dd11639fe92371ff,"Dissolved organic matter from aquatic and marine ecosystems along the Beaufort Sea, Alaska, 2018-ongoing",2019-10-23 14:21:51
7,knb-lter-ble.2.2,doi:10.6073/pasta/6b60fd7d047d3cce2db71f93f4f38ffb,"Dissolved organic carbon (DOC) and total dissolved nitrogen (TDN) from river, lagoon, and open ocean sites along the Alaska Beaufort Sea coast, 2018-ongoing",2019-10-28 10:37:46
8,knb-lter-ble.5.1,doi:10.6073/pasta/2c1cd0c1d3f0f257d9dac659314bc777,"Model simulated hydrological estimates for the North Slope drainage basin, Alaska, 1980-2010",2019-12-14 17:48:45
9,knb-lter-ble.2.3,doi:10.6073/pasta/055976fe4944a172aaddfdb90fcce7ac,"Dissolved organic carbon (DOC) and total dissolved nitrogen (TDN) from river, lagoon, and open ocean sites along the Alaska Beaufort Sea coast, 2018-ongoing",2020-01-08 14:14:27
10,knb-lter-ble.1.6,doi:10.6073/pasta/ee1b0056e741169a24c11afce777eb84,"Carbon flux from aquatic ecosystems of the Arctic Coastal Plain along the Beaufort Sea, Alaska, 2010-2018",2020-02-11 15:31:38
11,knb-lter-ble.5.2,doi:10.6073/pasta/bb7d76017b8a8534c4960346705bcb77,"Model simulated hydrological estimates for the North Slope drainage basin, Alaska, 1980-2010",2020-02-11 21:57:42
12,knb-lter-ble.7.1,doi:10.6073/pasta/e02e3bde8ba74a045eb907d7faa103fd,"Circulation dynamics: currents, waves, temperature measurements from moorings in lagoon sites along the Alaska Beaufort Sea coast, 2018-ongoing",2020-04-10 13:12:26
13,knb-lter-ble.1.7,doi:10.6073/pasta/e6c261fbd143e720af5a46a9a131a616,"Carbon flux from aquatic ecosystems of the Arctic Coastal Plain along the Beaufort Sea, Alaska, 2010-2018",2020-04-18 15:09:36
14,knb-lter-ble.2.4,doi:10.6073/pasta/4dcefec5d550301065619ed15b2192cc,"Dissolved organic carbon (DOC) and total dissolved nitrogen (TDN) from river, lagoon, and open ocean sites along the Alaska Beaufort Sea coast, 2018-ongoing",2020-04-18 15:16:03
15,knb-lter-ble.4.1,doi:10.6073/pasta/e075b6e2a509259c0c89394bded62eee,"Stable oxygen isotope ratios of water (H2O-d18O) from river, lagoon, and open ocean sites along the Alaska Beaufort Sea coast, 2019-ongoing",2020-04-18 15:27:39
16,knb-lter-ble.11.1,doi:10.6073/pasta/38d4e92e56b078cfad442c64e4f6b71e,"Carbon and nitrogen content and stable isotope compositions from particulate organic matter samples from lagoon, river, and open ocean sites along the Alaska Beaufort Sea coast, 2018-ongoing",2020-04-18 16:03:22
17,knb-lter-ble.12.1,doi:10.6073/pasta/6fe5c32e8d518cb2e05cf1e29ca413a1,"Sediment pigment concentrations from lagoon sites along the Alaska Beaufort Sea coast, 2018-ongoing",2020-04-18 16:15:08
18,knb-lter-ble.13.1,doi:10.6073/pasta/6938e001fcd02bafa670ed0d54b623eb,"Water column chlorophyll concentrations from lagoon, river, and ocean sites along the Alaska Beaufort Sea coast, 2018-ongoing",2020-04-18 16:27:27
19,knb-lter-ble.3.1,doi:10.6073/pasta/e0e71c2d59bf7b08928061f546be6a9a,"Physiochemical water column parameters and hydrographic time series from river, lagoon, and open ocean sites along the Alaska Beaufort Sea coast, 2018-ongoing",2020-04-18 22:08:08
20,knb-lter-ble.9.1,doi:10.6073/pasta/9305328d0f1ed28fbb2d7cf56c686786,"Time series of water column pH from lagoon sites along the Alaska Beaufort Sea coast, 2018-ongoing",2020-04-18 22:33:57
21,knb-lter-ble.14.1,doi:10.6073/pasta/f0c2cde849a9c21f53c8a4614df46890,"Water column and sediment porewater nutrient concentrations from lagoon, river, and ocean sites along the Alaska Beaufort Sea coast, 2018-ongoing",2020-05-21 15:44:37
22,knb-lter-ble.14.2,doi:10.6073/pasta/26d2d882293a0017e8144d172e8e4954,"Water column and sediment porewater nutrient concentrations from lagoon, river, and ocean sites along the Alaska Beaufort Sea coast, 2018-ongoing",2020-05-28 14:33:52
23,knb-lter-ble.7.2,doi:10.6073/pasta/3475cdbb160a9f844aa5ede627c5f6fe,"Circulation dynamics: currents, waves, temperature measurements from moorings in lagoon sites along the Alaska Beaufort Sea coast, 2018-ongoing",2020-06-30 15:10:05
24,knb-lter-ble.10.1,doi:10.6073/pasta/0e4d75453560ab5c085c9b547be68731,"Catalog of GenBank sequence read archive (SRA) entries of 16S and 18S rRNA genes from bacterial and protistan planktonic communities along the Eastern Beaufort Sea coast, North Slope, Alaska, 2011-2013",2020-07-17 11:43:22
25,knb-lter-ble.6.1,doi:10.6073/pasta/ced2cedd430d430d9149b9d7f1919729,"Photosynthetically active radiation (PAR) time series from lagoon sites along the Alaska Beaufort Sea coast, 2018-ongoing",2020-07-24 12:43:09
26,knb-lter-ble.14.3,doi:10.6073/pasta/9acb5a6f3956476be643e88c403404e3,"Water column and sediment porewater nutrient concentrations from lagoon, river, and ocean sites along the Alaska Beaufort Sea coast, 2018-ongoing",2020-07-27 15:54:46
27,knb-lter-ble.16.1,doi:10.6073/pasta/9cb127ebaaa85a2a79e4e3e72d71efe0,"Flow direction grid at 1 kilometer resolution for North Slope drainage basins, Alaska",2020-08-21 13:36:49
28,knb-lter-ble.15.1,doi:10.6073/pasta/189ae801656d7253de0671412cbab843,"Colored dissolved organic matter (CDOM) absorbance from lagoon, ocean, and river sites along the Alaska Beaufort Sea coast, 2019-ongoing",2020-09-04 11:24:39
29,knb-lter-ble.18.1,doi:10.6073/pasta/c4102f63928059a5953f3cc059d368f9,"Carbon and nitrogen content and stable isotope composition from sediment organic matter from lagoon sites along the Alaska Beaufort Sea coast, 2018-ongoing",2020-10-07 13:16:31
30,knb-lter-ble.18.2,doi:10.6073/pasta/e6fac1a97647d12add521fd5125cbbac,"Carbon and nitrogen content and stable isotope composition from sediment organic matter from lagoon sites along the Alaska Beaufort Sea coast, 2018-ongoing",2020-10-07 15:41:02
31,knb-lter-ble.17.1,doi:10.6073/pasta/cc4d53a91ed873765224fcb6d09f5eb7,"Geochemical characterization and material properties of coastal permafrost near Drew Point, Alaska",2020-11-12 18:34:59
32,knb-lter-ble.7.3,doi:10.6073/pasta/0e409075e8f5634e886efd9517bc76ff,"Circulation dynamics: currents, waves, temperature measurements from moorings in lagoon sites along the Alaska Beaufort Sea coast, 2018-ongoing",2020-11-24 10:41:35
33,knb-lter-ble.5.3,doi:10.6073/pasta/4ac1287a110f864f8b357a34377e971d,"Model simulated hydrological estimates for the North Slope drainage basin, Alaska, 1980-2010",2020-12-03 17:34:41
34,knb-lter-ble.5.4,doi:10.6073/pasta/c75da77e6d8dc39e64e3e60fefd6e665,"Model simulated hydrological estimates for the North Slope drainage basin, Alaska, 1980-2010",2020-12-09 16:19:23
35,knb-lter-ble.8.7,doi:10.6073/pasta/39e2f0646f0b86a8b8a2e2be98cc925a,"Seasonal Ice Mass-balance Buoy (SIMB) measurements from sites along the Beaufort Sea Coast, Alaska, 2018-ongoing",2021-03-11 09:19:55
36,knb-lter-ble.19.1,doi:10.6073/pasta/6bfe32f7eb95a886ee5af8f099634b3c,"Catalog of GenBank sequence read archive (SRA) entries of metagenomic DNA sequence analyses of bacterial and archaeal water column communities along the Eastern Beaufort Sea coast, North Slope, Alaska, 2012",2021-04-06 23:10:37
37,knb-lter-ble.7.4,doi:10.6073/pasta/33148f09ef3e5854ed285d9603f53dc4,"Circulation dynamics: currents, waves, temperature measurements from moorings in lagoon sites along the Alaska Beaufort Sea coast, 2018-ongoing",2021-08-18 08:02:57
38,knb-lter-ble.23.1,doi:10.6073/pasta/a49b3da18b4c83d6ff69d9d878bb7dc3,"Model estimates of runoff, dissolved organic carbon, soil temperature and moisture for Elson Lagoon watershed, Alaska, 1981-2020",2021-09-28 03:15:25
39,knb-lter-ble.22.1,doi:10.6073/pasta/e1c1430ef402c0823747bb3bb0a98694,"Near-shore bathymetry for Elson Lagoon and Chukchi Sea, Barrow Region, northern Alaska",2022-02-11 12:37:39
40,knb-lter-ble.2.5,doi:10.6073/pasta/a84f4096a5793427f7f9c671e0496285,"Dissolved organic carbon (DOC) and total dissolved nitrogen (TDN) from river, lagoon, and open ocean sites along the Alaska Beaufort Sea coast, 2018-ongoing",2022-06-21 21:56:11
41,knb-lter-ble.18.3,doi:10.6073/pasta/0429b7427c7e3ec179468b8688f2d414,"Carbon and nitrogen content and stable isotope composition from sediment organic matter from lagoon sites along the Alaska Beaufort Sea coast, 2018-ongoing",2022-07-16 11:57:26
42,knb-lter-ble.13.2,doi:10.6073/pasta/c7ddffa8bb116a5d3b6d42cecb807be2,"Water column chlorophyll concentrations from lagoon, river, and ocean sites along the Alaska Beaufort Sea coast, 2018-ongoing",2022-07-16 12:10:27
43,knb-lter-ble.12.2,doi:10.6073/pasta/939f9e5e3b6ba9c724de36090583c93b,"Sediment pigment concentrations from lagoon sites along the Alaska Beaufort Sea coast, 2018-ongoing",2022-07-16 12:33:38
44,knb-lter-ble.11.2,doi:10.6073/pasta/606bb21a324a69f460ba6c0c86f2997e,"Carbon and nitrogen content and stable isotope compositions from particulate organic matter samples from lagoon, river, and open ocean sites along the Alaska Beaufort Sea coast, 2018-ongoing",2022-07-16 12:51:36
45,knb-lter-ble.4.2,doi:10.6073/pasta/a93ab97d2f9201e26b3cabc16c34abea,"Stable oxygen isotope ratios of water (H2O-d18O) from river, lagoon, and open ocean sites along the Alaska Beaufort Sea coast, 2019-ongoing",2022-07-16 13:08:37
46,knb-lter-ble.14.4,doi:10.6073/pasta/ed9f09370160c6d496ffa74b880021c5,"Water column and sediment porewater nutrient concentrations from lagoon, river, and ocean sites along the Alaska Beaufort Sea coast, 2018-ongoing",2022-11-15 11:03:07
47,knb-lter-ble.14.5,doi:10.6073/pasta/3caf8934cff273d8eabd493836bd1633,"Water column and sediment porewater nutrient concentrations from lagoon, river, and ocean sites along the Alaska Beaufort Sea coast, 2018-ongoing",2022-11-18 12:09:41
48,knb-lter-ble.15.2,doi:10.6073/pasta/01f02f5f417ca5fe6ab4d66a1325a63c,"Colored dissolved organic matter (CDOM) absorbance from lagoon, ocean, and river sites along the Alaska Beaufort Sea coast, 2021-ongoing",2022-11-28 16:01:58
